fecha,campaign_id,canal,campaign_name,objetivo,marca,modelo_promocionado,impresiones,clicks,inversion_ars,leads_reportados_plataforma,ctr_pct,cpc_ars,cpl_plataforma_ars
2024-01-02,CAMP025,google_ads,Google Ads - Ford Maverick - whatsapp,whatsapp,Ford,Maverick,1711,40,22353.41,2,2.34,558.84,11176.71
2024-01-02,CAMP046,meta_ads,Meta Ads - Peugeot 208 - trafico,trafico,Peugeot,208,5036,99,43862.51,2,1.97,443.06,21931.25
2024-01-02,CAMP051,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,3502,73,58694.33,3,2.08,804.03,19564.78
2024-01-02,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,4110,169,42282.16,18,4.11,250.19,2349.01
2024-01-02,CAMP060,meta_ads,Meta Ads - Volkswagen Amarok - whatsapp,whatsapp,Volkswagen,Amarok,3769,47,88368.14,2,1.25,1880.17,44184.07
2024-01-02,CAMP048,meta_ads,Meta Ads - Ford Kuga - whatsapp,whatsapp,Ford,Kuga,1416,35,22847.79,0,2.47,652.79,
2024-01-02,CAMP059,meta_ads,Meta Ads - Renault Alaskan - whatsapp,whatsapp,Renault,Alaskan,2371,59,45941.47,1,2.49,778.67,45941.47
2024-01-02,CAMP021,google_ads,Google Ads - Toyota Hilux - trafico,trafico,Toyota,Hilux,2159,65,31657.89,5,3.01,487.04,6331.58
2024-01-02,CAMP024,google_ads,Google Ads - Peugeot Partner - whatsapp,whatsapp,Peugeot,Partner,2504,44,27274.56,5,1.76,619.88,5454.91
2024-01-02,CAMP007,google_ads,Google Ads - Volkswagen Nivus - lead_form,lead_form,Volkswagen,Nivus,1533,57,37943.27,2,3.72,665.67,18971.64
2024-01-02,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,1270,50,38139.91,5,3.94,762.8,7627.98
2024-01-03,CAMP020,google_ads,Google Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,1303,32,34885.78,2,2.46,1090.18,17442.89
2024-01-03,CAMP021,google_ads,Google Ads - Toyota Hilux - trafico,trafico,Toyota,Hilux,1710,64,31045.1,3,3.74,485.08,10348.37
2024-01-03,CAMP039,meta_ads,Meta Ads - Chevrolet Cruze - trafico,trafico,Chevrolet,Cruze,903,26,20975.14,1,2.88,806.74,20975.14
2024-01-03,CAMP045,meta_ads,Meta Ads - Chevrolet S10 - lead_form,lead_form,Chevrolet,S10,2864,123,65460.35,7,4.29,532.2,9351.48
2024-01-03,CAMP013,google_ads,Google Ads - Renault Logan - lead_form,lead_form,Renault,Logan,3404,59,67548.54,5,1.73,1144.89,13509.71
2024-01-03,CAMP031,meta_ads,Meta Ads - Volkswagen Polo - trafico,trafico,Volkswagen,Polo,2585,56,76213.18,3,2.17,1360.95,25404.39
2024-01-03,CAMP059,meta_ads,Meta Ads - Renault Alaskan - whatsapp,whatsapp,Renault,Alaskan,4243,134,61670.37,12,3.16,460.23,5139.2
2024-01-03,CAMP012,google_ads,Google Ads - Ford Territory - whatsapp,whatsapp,Ford,Territory,7389,329,73871.6,21,4.45,224.53,3517.7
2024-01-03,CAMP026,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,2004,83,43453.15,7,4.14,523.53,6207.59
2024-01-03,CAMP054,meta_ads,Meta Ads - Chevrolet S10 - remarketing,remarketing,Chevrolet,S10,1861,37,54643.7,4,1.99,1476.86,13660.93
2024-01-04,CAMP039,meta_ads,Meta Ads - Chevrolet Cruze - trafico,trafico,Chevrolet,Cruze,1831,34,62446.0,3,1.86,1836.65,20815.33
2024-01-04,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,1900,27,20263.68,2,1.42,750.51,10131.84
2024-01-04,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,2089,30,55523.49,1,1.44,1850.78,55523.49
2024-01-04,CAMP007,google_ads,Google Ads - Volkswagen Nivus - lead_form,lead_form,Volkswagen,Nivus,1826,60,48118.93,1,3.29,801.98,48118.93
2024-01-04,CAMP050,meta_ads,Meta Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,4270,74,89820.81,8,1.73,1213.79,11227.6
2024-01-04,CAMP016,google_ads,Google Ads - Renault Kangoo - remarketing,remarketing,Renault,Kangoo,614,21,18696.67,1,3.42,890.32,18696.67
2024-01-04,CAMP043,meta_ads,Meta Ads - Chevrolet Onix - remarketing,remarketing,Chevrolet,Onix,1328,34,38759.2,1,2.56,1139.98,38759.2
2024-01-04,CAMP054,meta_ads,Meta Ads - Chevrolet S10 - remarketing,remarketing,Chevrolet,S10,713,16,19614.6,0,2.24,1225.91,
2024-01-04,CAMP023,google_ads,Google Ads - Fiat Pulse - remarketing,remarketing,Fiat,Pulse,569,3,15485.28,0,0.53,5161.76,
2024-01-04,CAMP011,google_ads,Google Ads - Peugeot 3008 - trafico,trafico,Peugeot,3008,693,29,20530.29,2,4.18,707.94,10265.14
2024-01-04,CAMP042,meta_ads,Meta Ads - Volkswagen Virtus - remarketing,remarketing,Volkswagen,Virtus,2281,43,52247.52,2,1.89,1215.06,26123.76
2024-01-04,CAMP040,meta_ads,Meta Ads - Volkswagen Virtus - remarketing,remarketing,Volkswagen,Virtus,1626,49,48040.22,1,3.01,980.41,48040.22
2024-01-04,CAMP003,google_ads,Google Ads - Volkswagen Virtus - lead_form,lead_form,Volkswagen,Virtus,3386,117,63270.02,12,3.46,540.77,5272.5
2024-01-04,CAMP037,meta_ads,Meta Ads - Peugeot Expert - trafico,trafico,Peugeot,Expert,2401,14,47066.85,0,0.58,3361.92,
2024-01-04,CAMP056,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,1248,46,33710.9,3,3.69,732.85,11236.97
2024-01-04,CAMP044,meta_ads,Meta Ads - Fiat Fastback - remarketing,remarketing,Fiat,Fastback,3305,66,74361.18,2,2.0,1126.68,37180.59
2024-01-05,CAMP017,google_ads,Google Ads - Chevrolet Onix - remarketing,remarketing,Chevrolet,Onix,2549,49,60804.08,5,1.92,1240.9,12160.82
2024-01-05,CAMP043,meta_ads,Meta Ads - Chevrolet Onix - remarketing,remarketing,Chevrolet,Onix,2044,68,61285.19,3,3.33,901.25,20428.4
2024-01-05,CAMP056,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,5934,66,61056.47,1,1.11,925.1,61056.47
2024-01-05,CAMP032,meta_ads,Meta Ads - Fiat Pulse - lead_form,lead_form,Fiat,Pulse,2819,93,36493.05,6,3.3,392.4,6082.17
2024-01-05,CAMP034,meta_ads,Meta Ads - Volkswagen Amarok - remarketing,remarketing,Volkswagen,Amarok,3878,81,45461.56,2,2.09,561.25,22730.78
2024-01-05,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,2347,73,62726.63,8,3.11,859.27,7840.83
2024-01-05,CAMP021,google_ads,Google Ads - Toyota Hilux - trafico,trafico,Toyota,Hilux,2654,30,56322.5,1,1.13,1877.42,56322.5
2024-01-05,CAMP039,meta_ads,Meta Ads - Chevrolet Cruze - trafico,trafico,Chevrolet,Cruze,5087,101,48065.02,1,1.99,475.89,48065.02
2024-01-05,CAMP025,google_ads,Google Ads - Ford Maverick - whatsapp,whatsapp,Ford,Maverick,768,33,23075.52,2,4.3,699.26,11537.76
2024-01-06,CAMP027,google_ads,Google Ads - Chevrolet Tracker - whatsapp,whatsapp,Chevrolet,Tracker,1486,18,33478.65,1,1.21,1859.93,33478.65
2024-01-06,CAMP044,meta_ads,Meta Ads - Fiat Fastback - remarketing,remarketing,Fiat,Fastback,2440,66,70000.32,1,2.7,1060.61,70000.32
2024-01-06,CAMP032,meta_ads,Meta Ads - Fiat Pulse - lead_form,lead_form,Fiat,Pulse,723,27,20933.21,1,3.73,775.3,20933.21
2024-01-06,CAMP060,meta_ads,Meta Ads - Volkswagen Amarok - whatsapp,whatsapp,Volkswagen,Amarok,8358,284,76255.05,20,3.4,268.5,3812.75
2024-01-06,CAMP046,meta_ads,Meta Ads - Peugeot 208 - trafico,trafico,Peugeot,208,8296,318,89309.55,29,3.83,280.85,3079.64
2024-01-06,CAMP054,meta_ads,Meta Ads - Chevrolet S10 - remarketing,remarketing,Chevrolet,S10,1008,23,35263.56,1,2.28,1533.2,35263.56
2024-01-06,CAMP029,google_ads,Google Ads - Ford Bronco Sport - whatsapp,whatsapp,Ford,Bronco Sport,3817,170,75795.68,16,4.45,445.86,4737.23
2024-01-06,CAMP058,meta_ads,Meta Ads - Toyota Corolla Cross - lead_form,lead_form,Toyota,Corolla Cross,1021,29,30518.37,1,2.84,1052.36,30518.37
2024-01-06,CAMP011,google_ads,Google Ads - Peugeot 3008 - trafico,trafico,Peugeot,3008,2691,33,67519.74,0,1.23,2046.05,
2024-01-06,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,2071,17,28150.07,0,0.82,1655.89,
2024-01-06,CAMP037,meta_ads,Meta Ads - Peugeot Expert - trafico,trafico,Peugeot,Expert,1506,28,33965.34,2,1.86,1213.05,16982.67
2024-01-06,CAMP002,google_ads,Google Ads - Peugeot Partner - whatsapp,whatsapp,Peugeot,Partner,2274,89,34609.47,10,3.91,388.87,3460.95
2024-01-06,CAMP015,google_ads,Google Ads - Ford Maverick - trafico,trafico,Ford,Maverick,6154,267,65063.33,26,4.34,243.68,2502.44
2024-01-06,CAMP019,google_ads,Google Ads - Renault Alaskan - trafico,trafico,Renault,Alaskan,2407,95,83764.36,2,3.95,881.73,41882.18
2024-01-06,CAMP003,google_ads,Google Ads - Volkswagen Virtus - lead_form,lead_form,Volkswagen,Virtus,5403,182,79649.61,18,3.37,437.64,4424.98
2024-01-07,CAMP032,meta_ads,Meta Ads - Fiat Pulse - lead_form,lead_form,Fiat,Pulse,2634,105,70484.59,6,3.99,671.28,11747.43
2024-01-07,CAMP010,google_ads,Google Ads - Renault Kangoo - whatsapp,whatsapp,Renault,Kangoo,2111,84,50067.47,8,3.98,596.04,6258.43
2024-01-07,CAMP037,meta_ads,Meta Ads - Peugeot Expert - trafico,trafico,Peugeot,Expert,562,17,19265.05,1,3.02,1133.24,19265.05
2024-01-07,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,2656,57,78308.29,6,2.15,1373.83,13051.38
2024-01-07,CAMP018,google_ads,Google Ads - Toyota SW4 - trafico,trafico,Toyota,SW4,3574,66,76338.12,2,1.85,1156.64,38169.06
2024-01-07,CAMP057,meta_ads,Meta Ads - Toyota Hilux - lead_form,lead_form,Toyota,Hilux,4744,186,54690.22,18,3.92,294.03,3038.35
2024-01-07,CAMP027,google_ads,Google Ads - Chevrolet Tracker - whatsapp,whatsapp,Chevrolet,Tracker,2860,22,81744.06,1,0.77,3715.64,81744.06
2024-01-07,CAMP025,google_ads,Google Ads - Ford Maverick - whatsapp,whatsapp,Ford,Maverick,9154,386,77262.77,12,4.22,200.16,6438.56
2024-01-07,CAMP029,google_ads,Google Ads - Ford Bronco Sport - whatsapp,whatsapp,Ford,Bronco Sport,1368,31,47608.41,3,2.27,1535.76,15869.47
2024-01-07,CAMP005,google_ads,Google Ads - Chevrolet Cruze - lead_form,lead_form,Chevrolet,Cruze,2606,46,82933.76,4,1.77,1802.91,20733.44
2024-01-07,CAMP055,meta_ads,Meta Ads - Toyota Corolla - trafico,trafico,Toyota,Corolla,7640,153,80374.41,3,2.0,525.32,26791.47
2024-01-07,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,2501,20,63831.69,1,0.8,3191.58,63831.69
2024-01-07,CAMP026,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,2417,54,68627.09,1,2.23,1270.87,68627.09
2024-01-07,CAMP033,meta_ads,Meta Ads - Volkswagen Nivus - trafico,trafico,Volkswagen,Nivus,1411,12,19424.33,0,0.85,1618.69,
2024-01-08,CAMP044,meta_ads,Meta Ads - Fiat Fastback - remarketing,remarketing,Fiat,Fastback,6409,116,68999.54,12,1.81,594.82,5749.96
2024-01-08,CAMP029,google_ads,Google Ads - Ford Bronco Sport - whatsapp,whatsapp,Ford,Bronco Sport,785,27,22696.08,0,3.44,840.6,
2024-01-08,CAMP001,google_ads,Google Ads - Peugeot 208 - lead_form,lead_form,Peugeot,208,7543,201,89449.33,3,2.66,445.02,29816.44
2024-01-08,CAMP058,meta_ads,Meta Ads - Toyota Corolla Cross - lead_form,lead_form,Toyota,Corolla Cross,3153,107,62701.58,8,3.39,586.0,7837.7
2024-01-08,CAMP045,meta_ads,Meta Ads - Chevrolet S10 - lead_form,lead_form,Chevrolet,S10,1245,40,23807.18,4,3.21,595.18,5951.8
2024-01-08,CAMP022,google_ads,Google Ads - Toyota Hilux - lead_form,lead_form,Toyota,Hilux,1751,61,18761.67,4,3.48,307.57,4690.42
2024-01-08,CAMP053,meta_ads,Meta Ads - Chevrolet Spin - lead_form,lead_form,Chevrolet,Spin,1233,22,41954.49,0,1.78,1907.02,
2024-01-08,CAMP008,google_ads,Google Ads - Chevrolet Tracker - remarketing,remarketing,Chevrolet,Tracker,3270,90,33603.48,7,2.75,373.37,4800.5
2024-01-08,CAMP028,google_ads,Google Ads - Volkswagen Amarok - remarketing,remarketing,Volkswagen,Amarok,2045,67,59392.26,6,3.28,886.45,9898.71
2024-01-08,CAMP056,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,3924,102,63355.62,6,2.6,621.13,10559.27
2024-01-08,CAMP009,google_ads,Google Ads - Volkswagen Amarok - trafico,trafico,Volkswagen,Amarok,4401,35,70331.8,3,0.8,2009.48,23443.93
2024-01-08,CAMP031,meta_ads,Meta Ads - Volkswagen Polo - trafico,trafico,Volkswagen,Polo,4047,42,86464.38,2,1.04,2058.68,43232.19
2024-01-08,CAMP005,google_ads,Google Ads - Chevrolet Cruze - lead_form,lead_form,Chevrolet,Cruze,2619,115,58326.52,13,4.39,507.19,4486.66
2024-01-08,CAMP015,google_ads,Google Ads - Ford Maverick - trafico,trafico,Ford,Maverick,7337,290,84846.1,21,3.95,292.57,4040.29
2024-01-08,CAMP025,google_ads,Google Ads - Ford Maverick - whatsapp,whatsapp,Ford,Maverick,1531,54,40502.17,6,3.53,750.04,6750.36
2024-01-08,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,8530,73,72088.63,3,0.86,987.52,24029.54
2024-01-09,CAMP060,meta_ads,Meta Ads - Volkswagen Amarok - whatsapp,whatsapp,Volkswagen,Amarok,2658,88,51081.82,2,3.31,580.48,25540.91
2024-01-09,CAMP004,google_ads,Google Ads - Peugeot Expert - lead_form,lead_form,Peugeot,Expert,2186,36,53852.06,1,1.65,1495.89,53852.06
2024-01-09,CAMP051,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,3846,144,51881.77,10,3.74,360.29,5188.18
2024-01-09,CAMP026,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,1690,65,42477.06,5,3.85,653.49,8495.41
2024-01-09,CAMP033,meta_ads,Meta Ads - Volkswagen Nivus - trafico,trafico,Volkswagen,Nivus,638,21,17156.98,2,3.29,817.0,8578.49
2024-01-09,CAMP019,google_ads,Google Ads - Renault Alaskan - trafico,trafico,Renault,Alaskan,1599,36,16516.66,2,2.25,458.8,8258.33
2024-01-09,CAMP041,meta_ads,Meta Ads - Toyota Corolla - lead_form,lead_form,Toyota,Corolla,3638,127,59488.93,11,3.49,468.42,5408.08
2024-01-09,CAMP046,meta_ads,Meta Ads - Peugeot 208 - trafico,trafico,Peugeot,208,786,26,21316.55,0,3.31,819.87,
2024-01-10,CAMP034,meta_ads,Meta Ads - Volkswagen Amarok - remarketing,remarketing,Volkswagen,Amarok,2814,20,81140.35,1,0.71,4057.02,81140.35
2024-01-10,CAMP060,meta_ads,Meta Ads - Volkswagen Amarok - whatsapp,whatsapp,Volkswagen,Amarok,3415,115,33214.49,8,3.37,288.82,4151.81
2024-01-10,CAMP051,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,887,17,18011.46,1,1.92,1059.5,18011.46
2024-01-10,CAMP053,meta_ads,Meta Ads - Chevrolet Spin - lead_form,lead_form,Chevrolet,Spin,3135,50,56217.12,1,1.59,1124.34,56217.12
2024-01-10,CAMP047,meta_ads,Meta Ads - Renault Logan - lead_form,lead_form,Renault,Logan,2063,30,56765.16,2,1.45,1892.17,28382.58
2024-01-10,CAMP017,google_ads,Google Ads - Chevrolet Onix - remarketing,remarketing,Chevrolet,Onix,493,7,15434.96,0,1.42,2204.99,
2024-01-10,CAMP011,google_ads,Google Ads - Peugeot 3008 - trafico,trafico,Peugeot,3008,3474,147,41872.4,15,4.23,284.85,2791.49
2024-01-10,CAMP024,google_ads,Google Ads - Peugeot Partner - whatsapp,whatsapp,Peugeot,Partner,1686,58,55123.45,3,3.44,950.4,18374.48
2024-01-10,CAMP009,google_ads,Google Ads - Volkswagen Amarok - trafico,trafico,Volkswagen,Amarok,1928,65,37100.56,2,3.37,570.78,18550.28
2024-01-10,CAMP048,meta_ads,Meta Ads - Ford Kuga - whatsapp,whatsapp,Ford,Kuga,1000,25,18075.19,2,2.5,723.01,9037.6
2024-01-10,CAMP050,meta_ads,Meta Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,874,38,25988.86,4,4.35,683.92,6497.21
2024-01-10,CAMP018,google_ads,Google Ads - Toyota SW4 - trafico,trafico,Toyota,SW4,845,14,17376.26,1,1.66,1241.16,17376.26
2024-01-10,CAMP056,meta_ads,Meta Ads - Renault Logan - whatsapp,whatsapp,Renault,Logan,1636,10,37529.47,0,0.61,3752.95,
2024-01-11,CAMP048,meta_ads,Meta Ads - Ford Kuga - whatsapp,whatsapp,Ford,Kuga,4878,30,71317.61,1,0.62,2377.25,71317.61
2024-01-11,CAMP040,meta_ads,Meta Ads - Volkswagen Virtus - remarketing,remarketing,Volkswagen,Virtus,1738,67,30173.82,7,3.86,450.36,4310.55
2024-01-11,CAMP016,google_ads,Google Ads - Renault Kangoo - remarketing,remarketing,Renault,Kangoo,10719,339,86177.24,35,3.16,254.21,2462.21
2024-01-11,CAMP030,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,6359,169,68722.77,6,2.66,406.64,11453.8
2024-01-11,CAMP024,google_ads,Google Ads - Peugeot Partner - whatsapp,whatsapp,Peugeot,Partner,5238,235,50378.25,21,4.49,214.38,2398.96
2024-01-11,CAMP038,meta_ads,Meta Ads - Peugeot Expert - remarketing,remarketing,Peugeot,Expert,585,23,19256.08,1,3.93,837.22,19256.08
2024-01-11,CAMP032,meta_ads,Meta Ads - Fiat Pulse - lead_form,lead_form,Fiat,Pulse,3691,162,66666.06,3,4.39,411.52,22222.02
2024-01-11,CAMP050,meta_ads,Meta Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,1676,63,19455.01,1,3.76,308.81,19455.01
2024-01-11,CAMP053,meta_ads,Meta Ads - Chevrolet Spin - lead_form,lead_form,Chevrolet,Spin,2850,124,56290.02,4,4.35,453.95,14072.5
2024-01-11,CAMP013,google_ads,Google Ads - Renault Logan - lead_form,lead_form,Renault,Logan,1960,72,32357.29,6,3.67,449.41,5392.88
2024-01-11,CAMP047,meta_ads,Meta Ads - Renault Logan - lead_form,lead_form,Renault,Logan,4181,69,69357.52,1,1.65,1005.18,69357.52
2024-01-11,CAMP035,meta_ads,Meta Ads - Peugeot 3008 - whatsapp,whatsapp,Peugeot,3008,957,27,27811.58,0,2.82,1030.06,
2024-01-12,CAMP029,google_ads,Google Ads - Ford Bronco Sport - whatsapp,whatsapp,Ford,Bronco Sport,2413,25,36574.3,0,1.04,1462.97,
2024-01-12,CAMP030,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,2192,72,66468.76,1,3.28,923.18,66468.76
2024-01-12,CAMP021,google_ads,Google Ads - Toyota Hilux - trafico,trafico,Toyota,Hilux,4648,44,78329.28,1,0.95,1780.21,78329.28
2024-01-12,CAMP027,google_ads,Google Ads - Chevrolet Tracker - whatsapp,whatsapp,Chevrolet,Tracker,1844,59,40328.25,2,3.2,683.53,20164.13
2024-01-12,CAMP008,google_ads,Google Ads - Chevrolet Tracker - remarketing,remarketing,Chevrolet,Tracker,10247,223,90576.16,13,2.18,406.17,6967.4
2024-01-12,CAMP035,meta_ads,Meta Ads - Peugeot 3008 - whatsapp,whatsapp,Peugeot,3008,4840,116,71377.23,11,2.4,615.32,6488.84
2024-01-12,CAMP023,google_ads,Google Ads - Fiat Pulse - remarketing,remarketing,Fiat,Pulse,2792,107,23238.25,12,3.83,217.18,1936.52
2024-01-12,CAMP050,meta_ads,Meta Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,744,15,22519.85,1,2.02,1501.32,22519.85
2024-01-12,CAMP014,google_ads,Google Ads - Toyota Corolla Cross - lead_form,lead_form,Toyota,Corolla Cross,2663,42,63194.8,4,1.58,1504.64,15798.7
2024-01-12,CAMP060,meta_ads,Meta Ads - Volkswagen Amarok - whatsapp,whatsapp,Volkswagen,Amarok,1427,58,13900.44,3,4.06,239.66,4633.48
2024-01-13,CAMP006,google_ads,Google Ads - Toyota Corolla - whatsapp,whatsapp,Toyota,Corolla,1068,40,25103.16,2,3.75,627.58,12551.58
2024-01-13,CAMP058,meta_ads,Meta Ads - Toyota Corolla Cross - lead_form,lead_form,Toyota,Corolla Cross,540,6,14299.62,0,1.11,2383.27,
2024-01-13,CAMP055,meta_ads,Meta Ads - Toyota Corolla - trafico,trafico,Toyota,Corolla,1709,69,26597.79,1,4.04,385.48,26597.79
2024-01-13,CAMP054,meta_ads,Meta Ads - Chevrolet S10 - remarketing,remarketing,Chevrolet,S10,4119,72,60295.77,4,1.75,837.44,15073.94
2024-01-13,CAMP052,meta_ads,Meta Ads - Volkswagen Taos - whatsapp,whatsapp,Volkswagen,Taos,5696,96,54953.72,2,1.69,572.43,27476.86
2024-01-13,CAMP022,google_ads,Google Ads - Toyota Hilux - lead_form,lead_form,Toyota,Hilux,864,22,27557.71,1,2.55,1252.62,27557.71
2024-01-13,CAMP008,google_ads,Google Ads - Chevrolet Tracker - remarketing,remarketing,Chevrolet,Tracker,2531,112,74569.11,10,4.43,665.8,7456.91
2024-01-13,CAMP003,google_ads,Google Ads - Volkswagen Virtus - lead_form,lead_form,Volkswagen,Virtus,1762,43,40010.74,4,2.44,930.48,10002.69
2024-01-13,CAMP030,google_ads,Google Ads - Peugeot Partner - lead_form,lead_form,Peugeot,Partner,2768,36,51186.67,1,1.3,1421.85,51186.67
2024-01-13,CAMP004,google_ads,Google Ads - Peugeot Expert - lead_form,lead_form,Peugeot,Expert,903,32,29083.57,0,3.54,908.86,
2024-01-14,CAMP034,meta_ads,Meta Ads - Volkswagen Amarok - remarketing,remarketing,Volkswagen,Amarok,1647,34,56903.98,3,2.06,1673.65,18967.99
2024-01-14,CAMP023,google_ads,Google Ads - Fiat Pulse - remarketing,remarketing,Fiat,Pulse,7040,107,89340.27,5,1.52,834.96,17868.05
2024-01-14,CAMP050,meta_ads,Meta Ads - Chevrolet Tracker - lead_form,lead_form,Chevrolet,Tracker,3933,114,69572.2,10,2.9,610.28,6957.22
2024-01-14,CAMP038,meta_ads,Meta Ads - Peugeot Expert - remarketing,remarketing,Peugeot,Expert,1690,19,39431.21,2,1.12,2075.33,19715.6
2024-01-14,CAMP015,google_ads,Google Ads - Ford Maverick - trafico,trafico,Ford,Maverick,2585,113,77262.35,8,4.37,683.74,9657.79
2024-01-14,CAMP011,google_ads,Google Ads - Peugeot 3008 - trafico,trafico,Peugeot,3008,2846,23,25693.43,1,0.81,1117.11,25693.43
2024-01-14,CAMP007,google_ads,Google Ads - Volkswagen Nivus - lead_form,lead_form,Volkswagen,Nivus,648,12,13554.38,0,1.85,1129.53,
2024-01-14,CAMP016,google_ads,Google Ads - Renault Kangoo - remarketing,remarketing,Renault,Kangoo,4354,56,74902.74,5,1.29,1337.55,14980.55
2024-01-14,CAMP043,meta_ads,Meta Ads - Chevrolet Onix - remarketing,remarketing,Chevrolet,Onix,8297,97,79720.93,8,1.17,821.87,9965.12
2024-01-14,CAMP053,meta_ads,Meta Ads - Chevrolet Spin - lead_form,lead_form,Chevrolet,Spin,2096,55,23048.91,2,2.62,419.07,11524.45
2024-01-14,CAMP018,google_ads,Google Ads - Toyota SW4 - trafico,trafico,Toyota,SW4,653,20,17657.47,1,3.06,882.87,17657.47
2024-01-14,CAMP035,meta_ads,Meta Ads - Peugeot 3008 - whatsapp,whatsapp,Peugeot,3008,2289,100,38251.76,9,4.37,382.52,4250.2
2024-01-14,CAMP048,meta_ads,Meta Ads - Ford Kuga - whatsapp,whatsapp,Ford,Kuga,1824,45,46075.73,2,2.47,1023.91,23037.87
2024-01-14,CAMP004,google_ads,Google Ads - Peugeot Expert - lead_form,lead_form,Peugeot,Expert,2898,117,67160.27,9,4.04,574.02,7462.25
